"Действия","N","Упаковка","Группа","Цена со скидкой","Вес","Подразделение","Входящий артикул","PE, %","Голландия","Номенклатура","Обособленно","Склад","Серия","Содержание","Отменено по причине","Цена","Доступно","Германия","В резервах","Max, %","Сумма руч.","Ставка НДС","Вид цены","Discount","Сумма с НДС","Отменено","НДС","Свободно","На складе","Назначение МП","Сумма","Поставщик","В пути","Количество","Код скидки","Срок поставки"
"Не обеспечивать","1","шт","Monosem NO","1 568,62","","<для работ>","","24","","(20021446) Колесо контроля глубины (аналог)","Нет","Основной склад","<серия не указывается>","<для работ, оформляемых актом>","","2 063,98","4,000","","","25","495,36","20%","<произвольная>","24,00","1 568,62","Нет","261,44","4","4","","1 568,62","","","1,000","","90"
"Не обеспечивать","2","шт","Kverneland OE","","","<для работ>","","18","","(KK073231ZLB) Грудь отвала левая","Нет","Основной склад","<серия не указывается>","<для работ, оформляемых актом>","","3 025,61","21,000","","","19","","20%","<произвольная>","18,00","","Нет","","21","21","","","","","","0",""
"Не обеспечивать","3","шт","Claas Harvester NO","","","<для работ>","","22","","0000028590KR (CE60) Полузамок цепи","Нет","Основной склад","<серия не указывается>","<для работ, оформляемых актом>","","137,21","8,000","","","23","","20%","<произвольная>","22,00","","Нет","","8","8","","","","","","0",""
